"customer_id","customer_name","customer_email","customer_phone","customer_address"
"1","Adrian Keller","christinavalentine@example.com","451-834-7280x6952","904 Morgan Gateway, East Tammyland, IL 95309"
"2","Alex Martin","lindseyadam@example.com","571-525-7396","383 Copeland Island Apt. 753, South Clairemouth, MP 04260"
"3","Alexander French","vle@example.net","001-884-238-7887x72743","PSC 1872, Box 8433, APO AE 67994"
"4","Alexis Arnold","patricklisa@example.net","896.963.5054","586 Christina Garden, South Cherylview, OK 48825"
"5","Alexis Jenkins","scotthampton@example.org","843-954-5177","5701 Dawn Expressway, New Daniel, UT 76717"
"6","Amanda Carpenter","john83@example.org","001-250-978-9234x74554","7408 Hunter Crescent, Hansenmouth, NJ 33624"
"7","Amanda Morrison","amycoleman@example.com","(363)545-7038x50252","USS Weiss, FPO AA 52014"
"8","Amber Reed","amandahamilton@example.org","855.868.4713x51950","290 Robert Flat, New Christopher, MS 50725"
"9","Amy Alexander","qlyons@example.org","001-248-716-1987","9189 Lisa Land, Angelamouth, SD 99289"
"10","Anna Wolfe","mrose@example.com","397-321-3420x0460","0412 Chang Highway, Pennyfurt, PA 02052"
"11","Anthony Cook","stephanie51@example.net","001-545-463-1632x227","7878 Amanda Ways Apt. 821, Jeremiahmouth, NH 50526"
"12","Anthony Davenport","banksgabrielle@example.com","877-817-9544x5716","644 John Forge Apt. 593, Port Kristine, AK 72766"
"13","Anthony Fischer","chadnielsen@example.net","(469)569-2588","Unit 3811 Box 5497, DPO AA 71097"
"14","April Gordon","vfoster@example.com","637-681-1439x823","045 Joseph Ridge, Port Justin, MP 46616"
"15","Ariel Jackson","franklinmiller@example.org","709.732.9570x56042","1347 Freeman Springs Suite 418, New Craig, AL 41484"
"16","Austin Flowers","andersonhannah@example.org","369-843-4323x53880","5947 Jeff Freeway, Port Brettfort, MT 04460"
"17","Bailey Thomas","dillonshepard@example.org","(352)256-7222","209 Robert Ports Apt. 787, East Michaelshire, FL 39253"
